country,city,name,category,lat,lon,description,address,website,phone,photo_url,verified
austria,vienna,Prater Park,parks,48.2155,16.3957,"Historic park with the Prater amusement area and vast green spaces for off-leash dog walking","Prater, 1020 Vienna",https://www.praterwien.com,,https://images.unsplash.com/photo-1568515045052-f9a854d70bfd?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Donauinsel,parks,48.2266,16.4179,"Long island between Danube River branches with designated dog zones and swimming areas","Donauinsel, 1220 Vienna",https://www.wien.gv.at/english/environment/protection/donauinsel.html,,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Schönbrunn Palace Gardens,parks,48.1850,16.3122,"Imperial gardens with designated dog walking paths (dogs not allowed in palace)","Schönbrunner Schloßstraße 47, 1130 Vienna",https://www.schoenbrunn.at,,https://images.unsplash.com/photo-1542600257-246f0a2c0d11?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Stadtpark,parks,48.2049,16.3796,"Central city park with monuments and green lawns popular for dog walking","Stadtpark, 1030 Vienna",https://www.wien.info/en/vienna-for/dogs-346688,,https://images.unsplash.com/photo-1585432959914-01a7c3c1e21c?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Café Prückel,cafes_restaurants,48.2088,16.3768,"Traditional Viennese coffee house with outdoor seating welcoming dogs","Stubenring 24, 1010 Vienna",https://www.prueckel.at,+43-1-512-6115,https://images.unsplash.com/photo-1554118811-1e0d58224f24?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Phil,cafes_restaurants,48.2106,16.3606,"Modern bookstore café with dog-friendly atmosphere and outdoor terrace","Gumpendorfer Straße 10-12, 1060 Vienna",https://www.phil.info,+43-1-581-0489,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Das Augustin,cafes_restaurants,48.2006,16.3511,"Cozy neighborhood café with dog treats and water bowls","Augustinstraße 9, 1060 Vienna",https://www.das-augustin.at,+43-1-585-3348,https://images.unsplash.com/photo-1511081692775-05d0f180a065?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Kahlenberg Trail,trails,48.2754,16.3326,"Hillside trail with panoramic Vienna views through Vienna Woods","Kahlenberg, 1190 Vienna",https://www.wien.info/en/locations/kahlenberg-383212,,https://images.unsplash.com/photo-1502082553048-f009c37129b9?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Lainzer Tiergarten,trails,48.1621,16.2358,"Protected wildlife reserve with 100km of hiking trails and dedicated dog paths","Hermesstraße, 1130 Vienna",https://www.lainzer-tiergarten.at,,https://images.unsplash.com/photo-1501594907352-04cda38ebc29?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Alte Donau Promenade,trails,48.2404,16.4233,"Scenic waterfront walk around Old Danube with dog swimming areas","Alte Donau, 1220 Vienna",https://www.wien.info/en/vienna-for/dogs-346688,,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Fressnapf Wien,shops,48.1923,16.3357,"Pet supply store with wide selection of dog food, toys, and accessories","Mariahilfer Straße 151, 1150 Vienna",https://www.fressnapf.at,+43-1-892-0755,https://images.unsplash.com/photo-1601758228041-f3b2795255f1?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Kölle Zoo Wien,shops,48.2336,16.3983,"Large pet store with grooming services and veterinary consultation","Wagramer Straße 195, 1210 Vienna",https://www.koelle-zoo.at,+43-1-259-3030,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Hundezone Donaupark,parks,48.2441,16.4242,"Fenced off-leash dog park with agility equipment and separate small dog area","Arbeiterstrandbadstraße 122, 1220 Vienna",https://www.wien.gv.at/umwelt/parks/hundeinfo.html,,https://images.unsplash.com/photo-1587300003388-59208cc962cb?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Bruno Kreisky Park,parks,48.2253,16.3408,"Local park with designated dog zones and community atmosphere","Bruno-Kreisky-Gasse, 1090 Vienna",https://www.wien.gv.at/umwelt/parks/hundeinfo.html,,https://images.unsplash.com/photo-1560750588-73207b1ef5b8?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Auer-Welsbach-Park,parks,48.1868,16.3486,"Neighborhood park with off-leash hours and agility course","Auer-Welsbach-Park, 1150 Vienna",https://www.wien.gv.at/umwelt/parks/hundeinfo.html,,https://images.unsplash.com/photo-1580490230600-b3e94f1b887e?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Gasometer Brewpub,cafes_restaurants,48.1856,16.4183,"Modern brewpub with spacious terrace welcoming dogs","Guglgasse 6, 1110 Vienna",https://www.gasometer-brewpub.at,+43-1-749-8283,https://images.unsplash.com/photo-1556742044-3c52d6e88c62?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Wienerwald Trail,trails,48.2244,16.2441,"Forest trail network through Vienna Woods with multiple entry points","Wienerwald, 1140 Vienna",https://www.wienerwald.info,,https://images.unsplash.com/photo-1520520688772-4c0344fce6fc?auto=format&fit=crop&w=800&q=80,true
austria,vienna,Lobau National Park,trails,48.1800,16.5000,"Wetland nature reserve with hiking trails and natural swimming for dogs","Lobau, 1220 Vienna",https://www.np-donauauen.at,,https://images.unsplash.com/photo-1542600257-246f0a2c0d11?auto=format&fit=crop&w=800&q=80,true
